duration_ms,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo,top100
30080,0.599,0.28,-14.787,0.0843,0.796,0.0634,0.564,119.539,0
30186,0.794,0.16,-6.697,0.0521,0.839,0.176,0.802,107.881,0
30209,0.961,0.456,-7.143,0.0416,0.326,0.206,0.968,104.965,0
30222,0.0729,0.968,-29.014,0.0443,0.127,0.893,0.00154,177.409,0
30474,0.776,0.755,-9.867,0.0668,0.029,0.65,0.853,126.011,0
30474,0.5,0.922,-6.575,0.107,0.0389,0.555,0.715,126.027,0
30546,0.245,0.15,-20.047,0.036,0.307,0.321,0.0362,90.168,0
30622,0.555,0.0193,-29.867,0.0432,0.917,0.0658,0.31,76.113,0
30680,0.574,0.25,-11.952,0.0645,0.0627,0.141,0.51,58.926,0
30826,0.79,0.642,-9.359,0.0825,0.689,0.0779,0.943,67.503,0
31172,0.402,0.938,-3.151,0.0809,0.00233,0.102,0.962,154.699,0
31520,0.835,0.68,-7.537,0.307,0.0195,0.395,0.937,127.677,0
31637,0.235,0.901,-5.465,0.0964,0.000153,0.113,0.913,167.057,0
31900,0.503,0.85,-7.678,0.28,0.0187,0.369,0.894,137.354,0
31933,0.583,0.35,-14.93,0.442,0.798,0.392,0.685,129.895,0
31990,0.696,0.59,-8.772,0.738,0.158,0.308,0.826,126.326,0
32169,0.625,0.523,-9.239,0.83,0.137,0.108,0.881,142.099,0
32250,0.567,0.671,-7.216,0.338,0.0298,0.726,0.614,125.405,0
32417,0.428,0.497,-10.311,0.0491,0.547,0.693,0.36,71.801,0
32540,0.582,0.703,-7.055,0.247,0.071,0.398,0.743,132.478,0
32786,0.509,0.318,-19.109,0.0416,0.418,0.0947,0.136,159.752,0
32986,0.719,0.571,-9.292,0.946,0.931,0.651,0.741,106.625,0
33000,0.617,0.641,-13.771,0.932,0.81,0.922,0.364,66.703,0
33333,0.912,0.573,-11.185,0.0936,0.0152,0.0715,0.964,99.972,0
33408,0.509,0.281,-13.918,0.0368,0.975,0.546,0.168,75.207,0
33653,0.551,0.68,-8.036,0.293,0.0517,0.43,0.768,132.42,0
33680,0.721,0.703,-7.36,0.299,0.084,0.226,0.842,124.097,0
33800,0.599,0.0442,-27.623,0.104,0.954,0.237,0.5,112.316,0
33826,0.769,0.872,-5.507,0.0919,0.19,0.81,0.93,120.634,0
34026,0.595,0.294,-11.789,0.0321,0.77,0.388,0.751,82.136,0
34110,0.767,0.463,-7.105,0.171,0.811,0.145,0.799,200.405,0
34213,0.285,0.571,-7.216,0.0427,0.19,0.142,0.147,163.981,0
34411,0.95,0.412,-6.449,0.0892,0.576,0.14,0.496,119.947,0
34456,0.209,0.993,-3.608,0.144,0.000151,0.19,0.515,157.578,0
34460,0.689,0.756,-7.992,0.352,0.205,0.281,0.754,75.819,0
34853,0.897,0.498,-11.581,0.651,0.288,0.223,0.247,140.132,0
34878,0.257,0.0613,-21.991,0.0393,0.946,0.0873,0.107,80.404,0
35293,0.698,0.438,-11.355,0.705,0.698,0.444,0.691,139.707,0
35363,0.929,0.408,-10.788,0.0609,0.617,0.135,0.802,110.112,0
35450,0.602,0.812,-8.006,0.293,0.27,0.354,0.832,128.921,0
35467,0.26,0.187,-11.323,0.0331,0.279,0.0813,0.398,80.197,0
35506,0.407,0.162,-17.251,0.0365,0.876,0.158,0.697,181.496,0
35541,0.586,0.626,-8.127,0.321,0.0115,0.301,0.704,125.716,0
35572,0.4,0.212,-17.638,0.0516,0.776,0.185,0.597,181.803,0
35573,0.274,0.338,-6.103,0.0338,0.563,0.192,0.352,168.752,0
35626,0.555,0.305,-13.117,0.0305,0.911,0.192,0.839,90.973,0
36170,0.429,0.829,-9.952,0.509,0.0973,0.287,0.555,72.434,0
36330,0.708,0.797,-7.472,0.542,0.0466,0.32,0.949,129.861,0
36346,0.531,0.819,-8.199,0.209,0.678,0.677,0.629,82.034,0
36432,0.978,0.305,-7.462,0.0558,0.236,0.0879,0.851,115.03,0
36666,0.606,0.304,-11.546,0.22,0.739,0.117,0.744,95.293,0
36707,0.324,0.631,-8.046,0.0433,0.0667,0.0391,0.225,131.207,0
37093,0.84,0.797,-5.566,0.0391,0.381,0.0467,0.976,145.085,0
37132,0.506,0.0929,-27.106,0.0624,0.995,0.173,0.674,115.025,0
37160,0.834,0.8,-6.524,0.0527,0.051,0.0959,0.953,120.818,0
37293,0.256,1,-1.855,0.245,0.0129,0.443,0.0674,87.806,0
37293,0.868,0.195,-17.757,0.459,0.87,0.0987,0.839,128.514,0
37333,0.188,0.959,-28.842,0.0571,0.0888,0.592,0.00309,70.614,0
37368,0.452,0.00788,-27.234,0.0467,0.994,0.113,0.614,169.757,0
37500,0.673,0.83,-6.315,0.216,0.0259,0.193,0.749,127.208,0
